epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7035.61,0.41587,0.30827,0.90233,0.98507,0.96635,0.98822,0.96192,0.23453,0.14089,0.78743,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,7265.27,0.41755,0.30699,0.90357,0.98624,0.96474,0.9878,0.9618,0.23419,0.14021,0.78735,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,7496.06,0.41387,0.30355,0.90177,0.98499,0.96786,0.98843,0.96195,0.23402,0.13991,0.78729,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,7723.93,0.41202,0.30336,0.90156,0.98556,0.96791,0.98793,0.96189,0.23368,0.13932,0.78721,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,7955.34,0.41072,0.29724,0.89969,0.98669,0.9692,0.98871,0.96265,0.23318,0.13866,0.78684,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,8184.21,0.40908,0.29469,0.8972,0.98677,0.96875,0.98869,0.96278,0.23285,0.13772,0.78646,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,8413.65,0.408,0.29155,0.89828,0.98622,0.96929,0.98794,0.96239,0.23277,0.13812,0.78639,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,8644.24,0.40573,0.29202,0.89652,0.98737,0.96924,0.98823,0.96297,0.23251,0.13777,0.78617,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,8873.23,0.40525,0.28957,0.89733,0.98749,0.96919,0.98831,0.96267,0.23236,0.13745,0.78603,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,9105.32,0.40341,0.28645,0.89565,0.98685,0.96976,0.98814,0.96243,0.2323,0.13726,0.78608,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,9339.01,0.40035,0.28606,0.89872,0.98591,0.96992,0.98798,0.96251,0.23208,0.13685,0.78598,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,9571.06,0.40132,0.28462,0.89638,0.98717,0.96984,0.98811,0.96275,0.23206,0.13666,0.78605,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,9802.05,0.39557,0.2793,0.89238,0.98701,0.97028,0.98825,0.96265,0.23196,0.13618,0.78595,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,10035.6,0.39565,0.2781,0.89489,0.98715,0.97102,0.98852,0.9627,0.2317,0.13631,0.78586,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,10278.1,0.39506,0.27447,0.89575,0.98722,0.97286,0.98925,0.96251,0.23145,0.13547,0.78577,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,10505.1,0.39135,0.27223,0.89346,0.98604,0.97235,0.98813,0.96311,0.2314,0.13516,0.78569,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
