epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14943.1,0.41399,0.52541,0.91518,0.84596,0.87267,0.90867,0.87553,0.21981,0.31016,0.7934,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,15412.5,0.41273,0.51853,0.91517,0.84489,0.87616,0.90878,0.87544,0.21959,0.30993,0.79322,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,15873.7,0.40946,0.51435,0.91256,0.84562,0.87586,0.909,0.87601,0.21943,0.30975,0.79319,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,16329.4,0.40679,0.50805,0.9122,0.8488,0.87103,0.90907,0.87624,0.21937,0.30913,0.79328,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,16793.1,0.40718,0.50685,0.91217,0.84655,0.87684,0.90952,0.87683,0.2193,0.30847,0.79327,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,17268.8,0.40411,0.49961,0.91047,0.8459,0.87763,0.90983,0.87721,0.2192,0.30778,0.7932,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,17741.7,0.40131,0.49678,0.90896,0.8474,0.8772,0.91015,0.87759,0.21905,0.30715,0.79317,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,18210.1,0.39997,0.48928,0.90843,0.84667,0.87895,0.91065,0.87782,0.21894,0.30684,0.79306,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,18673,0.39963,0.48637,0.90983,0.84762,0.87894,0.91097,0.87836,0.21895,0.30642,0.79313,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,19136.1,0.39612,0.47996,0.9088,0.84806,0.88062,0.91151,0.8787,0.21886,0.30605,0.79307,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,19597.5,0.3948,0.47748,0.90824,0.84912,0.8802,0.91198,0.87877,0.21875,0.30569,0.79301,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,20053.9,0.39283,0.47029,0.90538,0.84928,0.87837,0.91182,0.87886,0.2187,0.30505,0.79298,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,20528.7,0.39082,0.46598,0.90314,0.85155,0.87455,0.91199,0.87918,0.21835,0.30455,0.79272,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,20988.8,0.38699,0.45742,0.90251,0.8512,0.87615,0.91221,0.87963,0.21827,0.30441,0.79257,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,21444.9,0.38493,0.45053,0.90154,0.85305,0.87631,0.91228,0.87942,0.21809,0.30412,0.79236,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,21920.9,0.38514,0.4504,0.90173,0.85362,0.87633,0.9123,0.8796,0.21789,0.30408,0.79212,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,22378.5,0.38083,0.43931,0.90112,0.85479,0.87601,0.91242,0.8798,0.21771,0.30369,0.79202,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,22833.3,0.37959,0.43457,0.90108,0.85596,0.87396,0.91274,0.8802,0.21747,0.30346,0.79188,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,23294.7,0.37591,0.43051,0.89888,0.85903,0.87037,0.91285,0.88026,0.21727,0.30339,0.79171,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,23761.7,0.24929,0.3334,0.80016,0.85857,0.87329,0.91313,0.88082,0.21703,0.30289,0.7915,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,24219.5,0.24632,0.32403,0.79799,0.86963,0.86134,0.9136,0.88147,0.21684,0.30248,0.79124,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,24677.6,0.24232,0.31308,0.79833,0.87361,0.85908,0.91374,0.88188,0.21675,0.30193,0.79123,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,25142.4,0.23893,0.30259,0.79484,0.87711,0.85683,0.91413,0.88212,0.21658,0.30143,0.79108,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,25608,0.23676,0.29234,0.79519,0.88,0.85545,0.91415,0.8824,0.21643,0.30102,0.79095,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,26068.7,0.23323,0.27957,0.79323,0.88147,0.85508,0.91428,0.88266,0.21624,0.30066,0.79082,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,26528.5,0.23074,0.26851,0.79407,0.88318,0.85296,0.91427,0.88281,0.21611,0.30057,0.79077,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,26991.1,0.22763,0.25952,0.791,0.88427,0.85167,0.91436,0.88296,0.216,0.30037,0.79068,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,27453.9,0.2248,0.24599,0.79094,0.8869,0.84993,0.9146,0.88333,0.21578,0.29997,0.7905,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,27910.6,0.22239,0.23441,0.78999,0.89151,0.8489,0.91472,0.88334,0.21556,0.29951,0.7904,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
